,ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,callBidSize,callAskSize,putVolume,putOpenInterest,putBidSize,putAskSize,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,residualRate,delta,gamma,theta,vega,rho,phi,driftlessTheta,extSmvVol,extCallValue,extPutValue,spotPrice,updatedAt
0,SPY,2022-05-31,2022-10-21,144,350,414.0798,0,0,20,20,35,0,80,123,70.7,71.3270836189768,72.03,7.67,7.660811246145527,7.72,0.297850823316467,0.308101521648877,0.31835221998128604,0.303331523542262,0.307346224544471,0.30772598213440705,0.308105739724343,-0.012267138333228001,0.8340121977365401,0.0031853070265740004,-0.06424306910211501,0.6536945758863261,0.7974316568387531,-0.973679928473908,-0.066725219359928,0.266970919804687,68.86231778190768,5.205222389929378,414.0798,2022-05-31T19:46:00Z
1,SPY,2022-06-01,2022-10-21,143,350,411.62,0,0,130,20,288,11,408,88,68.3,68.96561686713862,69.62,7.74,7.773278817634824,7.78,0.293864732026056,0.30400226802856,0.314139804031064,0.32155631332814505,0.302845950440333,0.30315145679731104,0.30345696315429,-0.012106739220697,0.8154127099943461,0.003242601336967,-0.07294625999604301,0.6523635284332451,0.7828677842455931,-0.9601680501839671,-0.075644510058042,0.26828723460124904,66.75885974668275,5.599606841278484,411.62,2022-06-01T19:46:00Z
2,SPY,2022-06-02,2022-10-21,142,350,416.19,0,0,130,130,20,284,88,546,72.11,72.72856259571579,73.34,6.93,6.94983895303199,6.97,0.293222438683642,0.30342730731594203,0.313632175948242,0.324004546408486,0.30319333888431804,0.303527191758837,0.303861044633357,-0.012702877415554,0.8289203067777071,0.0030392262558570004,-0.071115650738897,0.6518738920632471,0.7877340643827231,-0.9718425926412081,-0.073573337213424,0.26935949207744203,70.74329208059646,4.954695204967421,416.19,2022-06-02T19:46:00Z
3,SPY,2022-06-03,2022-10-21,141,350,410.04,0,0,10,10,283,288,80,1058,66.67,67.22970657927023,67.87,7.73,7.707729428513329,7.77,0.29162184658872004,0.30091491463332104,0.31020798267792205,0.302045383883971,0.300364692979735,0.300672577682012,0.30098046238428805,-0.011823499510430002,0.8234353119755391,0.003402683322733,-0.06620826030890001,0.6458238375418041,0.769566540501145,-0.9331913991215731,-0.069191931230135,0.259956157720316,64.76990868554643,5.244540661733128,410.04,2022-06-03T19:46:00Z
4,SPY,2022-06-06,2022-10-21,138,350,411.69,1,0,130,10,35,458,30,571,67.68,68.17087335159823,68.79,7.2,7.140669026870278,7.24,0.290405757277645,0.299328892847451,0.308252028417256,0.30441385876951604,0.299295651673443,0.299605421190415,0.29991519070738704,-0.010824608760087001,0.829600605424271,0.0033411327900870003,-0.06542504033799501,0.6391080679628031,0.74528125305307,-0.903966282948052,-0.06916143383197701,0.26508309742339103,66.2031640209366,5.1592033324949,411.69,2022-06-06T19:46:00Z
5,SPY,2022-06-07,2022-10-21,137,350,415.67,10,1,50,10,65,462,462,344,70.84,71.50190108501054,72.24,6.37,6.362086065758116,6.42,0.285779737800381,0.297753540740441,0.30972734368050103,0.301424852650088,0.29743629637753,0.29786044119119803,0.298284586004867,-0.012347762564986,0.845161829242387,0.003140217327343,-0.062036168287935005,0.584992547335059,0.7507439431050691,-0.914157829139379,-0.06505406340851201,0.26730295250671304,69.84176298388299,4.672748495319163,415.67,2022-06-07T19:46:00Z
6,SPY,2022-06-08,2022-10-21,136,350,411.58,6,11,10,10,110,433,258,148,67.17,67.7880620047688,68.49,6.82,6.794832193229959,6.86,0.28454460999381603,0.29550748198138604,0.306470353968957,0.29992655207290103,0.29535374258803304,0.29569538321801403,0.296037023847995,-0.011741509288717,0.8338234904802201,0.0033602397042240004,-0.06408454567277601,0.6331184497350311,0.7397573158196581,-0.8950633543561051,-0.067536604292966,0.262076815351502,65.89443812153033,4.894455042884719,411.58,2022-06-08T19:46:00Z
7,SPY,2022-06-09,2022-10-21,135,350,403.29,4,16,10,10,112,438,198,213,60.09,60.840542429749085,61.63,8.23,8.21446229983438,8.3,0.282869248974563,0.29457738218697904,0.306285515399394,0.290595515447826,0.295643576921983,0.296155639241148,0.296667701560313,-0.012027828622913002,0.811022234404778,0.0038482454360090003,-0.066518241567824,0.6284058558148861,0.725129169641163,-0.865941734872789,-0.06994104006869001,0.257303732084804,58.50958317859588,5.8104880886202075,403.29,2022-06-09T19:46:00Z
8,SPY,2022-06-10,2022-10-21,134,350,391.6014,4,19,10,10,164,502,205,64,51.06,51.56467188516216,52.17,10.59,10.591163785742674,10.66,0.287046219054503,0.29478893229801,0.302531645541517,0.297150766079503,0.29484319127123404,0.29533020778684305,0.295817224302452,-0.012842436580774,0.7589035549193831,0.004460166265356,-0.07743557612529,0.7168601343024671,0.6987293337796591,-0.8265044559484811,-0.080589181512948,0.294640768090328,51.60433144196877,10.57545660960249,391.6014,2022-06-10T19:46:00Z
9,SPY,2022-06-13,2022-10-21,131,350,374.46,27,19,462,393,743,545,106,48,39.66,40.088154425720724,40.58,16.15,16.15782389653794,16.23,0.30298850476974903,0.30870929180398804,0.31443007883822804,0.30583701412069203,0.308390287024675,0.30888734813387103,0.30938440924306604,-0.014199392201149002,0.6727311528392761,0.005293617692783001,-0.09053622004691,0.804194186446271,0.6256729581104921,-0.729527296146942,-0.093279574833909,0.254123222729293,35.81811897192498,11.868346098052735,374.46,2022-06-13T19:46:00Z
